Unnamed: 0.1,Unnamed: 0,circuitId,circuitRef,name,location,country,lat,lng,alt,url,img_urls
0,0,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Albert_Park_Circuit_2021.svg/220px-Albert_Park_Circuit_2021.svg.png
1,1,2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,http://upload.wikimedia.org/wikipedia/en/thumb/d/da/Petronas_Sepang_International_Circuit_logo.png/250px-Petronas_Sepang_International_Circuit_logo.png
2,2,3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,http://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Bahrain_International_Circuit_logo.png/200px-Bahrain_International_Circuit_logo.png
3,3,4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Catalunya_moto_2021.svg/250px-Circuit_de_Catalunya_moto_2021.svg.png
4,4,5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130,http://en.wikipedia.org/wiki/Istanbul_Park,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/250px-Istanbul_park.svg.png
5,5,6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,http://en.wikipedia.org/wiki/Circuit_de_Monaco,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/250px-Monte_Carlo_Formula_1_track_map.svg.png
6,6,7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg/280px-%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg.png
7,7,8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Nevers_Magny-Cours.svg/250px-Circuit_de_Nevers_Magny-Cours.svg.png
8,8,9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,http://en.wikipedia.org/wiki/Silverstone_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Silverstone_Circuit_logo.png/250px-Silverstone_Circuit_logo.png
9,9,10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,http://en.wikipedia.org/wiki/Hockenheimring,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hockenheim2012.svg/220px-Hockenheim2012.svg.png
10,10,11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,http://en.wikipedia.org/wiki/Hungaroring,http://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Hungaroring_logo.png/200px-Hungaroring_logo.png
11,11,12,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Circuit_Valencia_street.svg/250px-Circuit_Valencia_street.svg.png
12,12,13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Logo_Circuit_de_Spa_Francorchamps.svg/260px-Logo_Circuit_de_Spa_Francorchamps.svg.png
13,13,14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Autodromo_Nazionale_Monza_circuit_logo.png/160px-Autodromo_Nazionale_Monza_circuit_logo.png
14,14,15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Marina_Bay_circuit_2023.svg/220px-Marina_Bay_circuit_2023.svg.png
15,15,16,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583,http://en.wikipedia.org/wiki/Fuji_Speedway,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fuji.svg/320px-Fuji.svg.png
16,16,17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shanghai_International_Racing_Circuit_track_map.svg/250px-Shanghai_International_Racing_Circuit_track_map.svg.png
