,constructorId,constructorRef,name,nationality,url,img_urls
0,1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,http://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/220px-McLaren_Racing_logo.svg.png
1,2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/BMW.svg/220px-BMW.svg.png
2,3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Williams_Racing_2020_logo.png/220px-Williams_Racing_2020_logo.png
3,4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,http://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Renault_F1_Team_logo_2019.svg/220px-Renault_F1_Team_logo_2019.svg.png
4,5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,http://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Scuderia_Toro_Rosso_logo.svg/250px-Scuderia_Toro_Rosso_logo.svg.png
5,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,http://upload.wikimedia.org/wikipedia/en/thumb/d/df/Scuderia_Ferrari_HP_logo_24.svg/220px-Scuderia_Ferrari_HP_logo_24.svg.png
6,7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,
7,8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,http://upload.wikimedia.org/wikipedia/en/thumb/c/c0/SuperAguri_logo.svg/150px-SuperAguri_logo.svg.png
8,9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,http://upload.wikimedia.org/wikipedia/en/4/44/Red_bull_racing.png
9,10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,http://upload.wikimedia.org/wikipedia/en/thumb/3/39/Racing_Point_Force_India_logo.jpg/255px-Racing_Point_Force_India_logo.jpg
