№ чека;Дата;Время;Товар;Кол-во;Сумма;Способ платежа (нал / безнал);Покупатель;Себестоимость закупки
100000008;7-12-2018;0,711469907;Футболка тип 5, Puma;1;247.976;наличные;;139
100000008;7-12-2018;0,711469907;Кепка тип 1, Puma;1;237.984;наличные;;134
100000008;7-12-2018;0,711469907;Кепка тип 2, Puma;1;314.64;наличные;;190
100000016;2-12-2017;0,632766204;Колготки тип 5, Nike;1;456.2856;безналичные;ФИО 450;254
100000020;2-23-2018;0,514236111;Шапка тип 8, Adidas;1;326.8;наличные;;152
100000052;7-5-2018;0,845069444;Штаны тип 2, Nike;2;2813.064;безналичные;;1194
100000052;7-5-2018;0,845069444;Туфли тип 2, Nike;1;3185.73024;безналичные;;1562
100000052;7-5-2018;0,845069444;Ремень тип 3, Nike;1;469.264;безналичные;;211
100000052;7-5-2018;0,845069444;Кепка тип 3, Adidas;1;342.189;безналичные;;197
100000052;7-5-2018;0,845069444;Футболка тип 1, Adidas;1;423.108;безналичные;;219
100000084;8-20-2016;0,489490741;Штаны тип 5, Reebok;1;1972.846;безналичные;ФИО 1149;1076
100000084;8-20-2016;0,489490741;Сапоги тип 5, Reebok;1;5673.87;безналичные;ФИО 1149;2741
100000099;10-8-2017;0,792627315;Шапка тип 1, Reebok;1;495.55;наличные;;265
100000099;10-8-2017;0,792627315;Кепка тип 2, Nike;2;1083.32;наличные;;530
100000099;10-8-2017;0,792627315;Шапка тип 2, Puma;2;760.32;наличные;;440
100000099;10-8-2017;0,792627315;Ремень тип 4, Nike;1;522.39536;наличные;;283
100000099;10-8-2017;0,792627315;Рубашка тип 12, Nike;1;974.028;наличные;;471
100000108;6-2-2017;0,703587963;Кроссовки тип 2, Reebok;1;1244.0064;наличные;ФИО 1031;712
100000111;11-15-2017;0,716342593;Футболка тип 7, Nike;1;869.584;безналичные;;391
100000126;11-6-2017;0,669016204;Футболка тип 3, Adidas;1;542.2536;наличные;ФИО 437;318
100000126;11-6-2017;0,669016204;Шапка тип 3, Puma;1;388.44;наличные;ФИО 437;249
100000126;11-6-2017;0,669016204;Колготки тип 7, Puma;1;537.472;наличные;ФИО 437;320
100000126;11-6-2017;0,669016204;Майка тип 2, Adidas;1;310.8;наличные;ФИО 437;168
100000131;7-12-2017;0,395706019;Ремень тип 4, Nike;2;1258.784;наличные;;566
100000131;7-12-2017;0,395706019;Футболка тип 1, Adidas;1;459.9;наличные;;219
100000131;7-12-2017;0,395706019;Колготки тип 2, Adidas;1;89.2416;наличные;;56
100000131;7-12-2017;0,395706019;Ремень тип 1, Puma;1;310.184;наличные;;191
100000135;7-17-2016;0,615578704;Колготки тип 2, Adidas;1;107.52;безналичные;;56
100000135;7-17-2016;0,615578704;Туфли тип 2, Nike;2;6599.01264;безналичные;;3124
100000135;7-17-2016;0,615578704;Сапоги тип 4, Adidas;1;7128.99;безналичные;;3411
100000135;7-17-2016;0,615578704;Футболка тип 7, Nike;1;800.01728;безналичные;;391
100000135;7-17-2016;0,615578704;Штаны тип 7, Puma;1;482.232;безналичные;;283
100000135;7-17-2016;0,615578704;Запонка тип 2, Nike;1;231.544;безналичные;;103
100000152;9-14-2018;0,69275463;Ремень тип 1, Puma;1;310.184;безналичные;;191
100000160;1-28-2018;0,505405093;Запонка тип 3, Nike;1;782.6;наличные;;350
100000160;1-28-2018;0,505405093;Майка тип 2, Reebok;1;452.6522;наличные;;247
100000170;7-29-2016;0,676770833;Сапоги тип 6, Puma;1;2144.936;безналичные;ФИО 318;1361
100000170;7-29-2016;0,676770833;Кроссовки тип 2, Puma;2;3158.112;безналичные;ФИО 318;1964
100000170;7-29-2016;0,676770833;Кроссовки тип 6, Adidas;1;2545.92;безналичные;ФИО 318;1224
